"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID"
"11733979_at","11733979_at",-0.479838031080653,2.63570212510224,-4.45404318967183,9.62261116172352e-06,0.00154963442023964,3.22144085729658,"CD28","940"
"11741113_a_at","11741113_a_at",-0.68615436504851,5.72597111914589,-4.45188741365894,9.71738405000137e-06,0.00154963442023964,3.21255401655169,"PDCD4","27250"
"11733187_a_at","11733187_a_at",-1.23956772073784,6.59530665846758,-4.45124647611073,9.74573298454694e-06,0.00154963442023964,3.20991264192601,"IL7R","3575"
"11738900_x_at","11738900_x_at",-0.570097645055903,9.3089022592793,-4.44933228504621,9.83087038598255e-06,0.00155315148418542,3.20202619763388,"RPL3","6122"
"11717989_a_at","11717989_a_at",-0.761831667650434,4.25701492847007,-4.44437412868864,1.0054716200012e-05,0.00156344393586,3.1816136261741,"SUN1","23353"
"11740946_at","11740946_at",-0.446841778090773,2.4086874060611,-4.4434682079103,1.00961393036426e-05,0.00156344393586,3.1778863139152,"FAM153B","202134"
"11754169_a_at","11754169_a_at",0.714283774133194,4.19057145430549,4.44332469476809,1.01027163871432e-05,0.00156344393586,3.17729591093365,"PPM1M","132160"
"11715583_s_at","11715583_s_at",-0.959762431658543,9.77013011454613,-4.44197510514445,1.01647677999525e-05,0.00156344393586,3.17174467972939,"HLA-DPA1","3113"
"11720910_a_at","11720910_a_at",-0.95937499026915,3.48857748515087,-4.43969334350265,1.02705089343103e-05,0.00156344393586,3.16236281204716,"NELL2","4753"
"11739212_a_at","11739212_a_at",-0.452100374720316,4.03037209348753,-4.43691719514692,1.04005804408265e-05,0.00156344393586,3.15095435794585,"C11orf46","120534"
"11755208_a_at","11755208_a_at",0.525754248133323,6.62875960427805,4.43660908604258,1.04151131286669e-05,0.00156344393586,3.1496886154844,"DNASE1L1","1774"
"11761676_a_at","11761676_a_at",-0.328501614638733,2.70576211996259,-4.43573593923121,1.04564027604439e-05,0.00156344393586,3.14610209605422,"C3orf31","132001"
"11715614_at","11715614_at",-0.605951725283454,3.71908378103117,-4.43551359834819,1.04669418736063e-05,0.00156344393586,3.14518892041192,"BTG2","7832"
"11744512_a_at","11744512_a_at",-0.801289098912271,3.0892073307606,-4.43159086844546,1.06545617972487e-05,0.00158188150635538,3.12908503571204,"C2orf89","129293"
"11757837_x_at","11757837_x_at",-0.587619211863171,8.90170119445761,-4.42822721820304,1.08179997589557e-05,0.0015903418071805,3.11528710299582,"HNRNPA1","3178"
"11744098_at","11744098_at",-0.754333192210122,5.3864256488217,-4.4266129863394,1.08972834488688e-05,0.0015903418071805,3.10866894246001,"NOP58","51602"
